os_500_iters_p,os_1000_iters_p,os_5000_iters_p,os_500_iters_eps_q,os_1000_iters_eps_q,os_5000_iters_eps_q,sloan_500_iters_p,sloan_1000_iters_p,sloan_5000_iters_p,sloan_500_iters_eps_q,sloan_1000_iters_eps_q,sloan_5000_iters_eps_q
0.04789503033333187,0.05538508233333239,0.04622870033333282,0.016564951298812552,0.01924229719771714,0.015972229799034704,6.605000001158601e-06,5.949333333532536e-06,0.0,7.171906149516794e-08,6.956855669315587e-08,0.0
0.047916028999998694,0.055403563999998795,0.046244433999998336,0.016577052214878624,0.019254254196964277,0.015982264061816853,6.644333335970032e-06,5.830333334344573e-06,0.0,7.168655177802741e-08,6.9494311971674e-08,0.0
0.04793710033333287,0.05542173166666586,0.04626017033333252,0.016589153160357,0.019266211379598025,0.015992298673268346,6.611000001655043e-06,5.956000000750805e-06,0.0,7.162462975496275e-08,6.946800207296988e-08,0.0
0.04795822533333194,0.05543995299999871,0.046275883666665685,0.01660125410552099,0.019278168561917386,0.016002333547990633,6.524000001562058e-06,6.028000001379041e-06,0.0,7.156302206379195e-08,6.944200653391519e-08,0.0
0.04797942333333438,0.05545824733333493,0.046291593333334546,0.01661335508173023,0.019290125775281997,0.016012368717340436,6.36399999898174e-06,6.026999997743587e-06,0.0,7.147036917842797e-08,6.938496580066733e-08,0.0
0.04800067499999994,0.055476595333334267,0.04630728666666695,0.016625456055290533,0.01930208298599767,0.01602240420329132,6.150333334176139e-06,5.972333331882851e-06,0.0,7.138036517417845e-08,6.933057394853392e-08,0.0
0.048021999333331955,0.055495015999999175,0.046322975999999905,0.01663755706052905,0.01931404022839156,0.016032439984537766,5.864000002020475e-06,5.845000000448408e-06,0.0,7.125868300983385e-08,6.924450390854986e-08,0.0
0.048042607333331766,0.05551311399999914,0.046338655333332035,0.01664965931767845,0.019325997663675182,0.01604247610140999,6.147633335729097e-06,5.970333333493727e-06,0.0,7.12723136342408e-08,6.921677664362136e-08,0.0
0.048063267666666576,0.05553126433333322,0.04635431033333326,0.016661761575926637,0.019337955100057563,0.01605251248299333,6.378933333550663e-06,6.043333332428347e-06,0.0,7.128484552643144e-08,6.918795064647654e-08,0.0
0.04808400266666624,0.055549489333333035,0.04636996999999976,0.016673863864059696,0.019349912566324873,0.01606254915807112,6.535566667409398e-06,6.041666667400136e-06,0.0,7.126749249075637e-08,6.912923972146601e-08,0.0
0.04810480433333275,0.055567780999999705,0.04638561966666632,0.016685966142034603,0.019361870022433975,0.016072586142309386,6.625533332638156e-06,5.973333333741948e-06,0.0,7.126029766268971e-08,6.908068700406389e-08,0.0
0.04812565433333127,0.05558612099999838,0.046401244333331704,0.016698068421112183,0.019373827479645778,0.01608262339125499,6.66716666763989e-06,5.856666668080379e-06,0.0,7.125200010560384e-08,6.903103155764256e-08,0.0
0.04814658000000005,0.05560415199999991,0.046416868000000555,0.016710170726783075,0.01938578511691119,0.016092660930435765,6.633133333266983e-06,5.980333332544774e-06,0.0,7.121710926538682e-08,6.903146868020293e-08,0.0
0.048167552333331365,0.05562222966666486,0.046432468333332366,0.016722273027870993,0.01939774274959366,0.01610269878434542,6.552433333695262e-06,6.057333335363069e-06,0.0,7.118680139805988e-08,6.90364887478978e-08,0.0
0.0481885939999982,0.055640376666666214,0.0464480613333329,0.016734375366172755,0.019409700419489917,0.01611273693914589,6.402400000382613e-06,6.065000000887721e-06,0.0,7.111927968761478e-08,6.900429500023009e-08,0.0
0.04820970866666663,0.05565859666666739,0.046463654000000965,0.016746477728355774,0.01942165811326746,0.016122775381461923,6.179366664582631e-06,5.999666667477754e-06,0.0,7.102787674684308e-08,6.89482199944802e-08,0.0
0.04823087666666659,0.05567687000000099,0.04647922333333376,0.016758580121122357,0.019433615837628593,0.01613281417366666,5.902999998141922e-06,5.880999999874348e-06,0.0,7.09058901871007e-08,6.88615613975152e-08,0.0
0.04825133299999873,0.05569482499999978,0.046494788999998704,0.016770683768424305,0.019445573774960673,0.016142853266469248,6.190699998853688e-06,6.011333335109725e-06,0.0,7.089829273665416e-08,6.88133303394789e-08,0.0
