os_500_iters_p,os_1000_iters_p,os_5000_iters_p,os_500_iters_eps_q,os_1000_iters_eps_q,os_5000_iters_eps_q,sloan_500_iters_p,sloan_1000_iters_p,sloan_5000_iters_p,sloan_500_iters_eps_q,sloan_1000_iters_eps_q,sloan_5000_iters_eps_q
0.09123903566666502,0.09296266466666481,0.08313903066666484,0.08332466298263552,0.08510543412069371,0.075071038861872,3.5556666766467515e-07,1.3746666827074705e-07,0.0,5.8538883407344144e-08,5.411377107522597e-08,0.0
0.0912328793333339,0.09295570866666747,0.08313342733333506,0.08334164581505527,0.08512218891243467,0.07508625808048541,2.862666654834811e-07,1.3753333227839448e-07,0.0,5.737863922883335e-08,5.411388831477737e-08,0.0
0.09122674966666633,0.09294877933333279,0.08312782399999907,0.08335862908077862,0.08513894413747913,0.07510147703108133,1.9029999975828105e-07,1.1093333363021429e-07,0.0,5.578509143511212e-08,5.3680701939118336e-08,0.0
0.09122064666666585,0.09294187666666609,0.08312221399999942,0.08337561281310946,0.08515569982913107,0.07511669586469988,6.766666693636125e-08,5.766666788531438e-08,0.0,5.372493616651042e-08,5.2780908088578826e-08,0.0
0.0912142703333334,0.09293485400000012,0.08311660400000154,0.08339258911820496,0.08517245215129182,0.07513191446372364,1.8999999973345894e-07,1.1100000030239698e-07,0.0,5.5824718958596975e-08,5.372105127410265e-08,0.0
0.09120792066666628,0.09292785799999947,0.0831109906666665,0.08340956592327103,0.08518920497342292,0.07514713297939535,2.856666663220153e-07,1.3766666651093828e-07,0.0,5.7424531352268104e-08,5.4161224061211044e-08,0.0
0.09120159766666802,0.0929208886666677,0.0831053740000014,0.08342654312833675,0.08520595819555377,0.07516235119348491,3.54666665813852e-07,1.3766666562275987e-07,0.0,5.862434393488769e-08,5.420139709277905e-08,0.0
0.09119530133333331,0.09291394599999947,0.08309975733333363,0.08344352083337297,0.08522271191765524,0.07517756932422293,3.9699999998532576e-07,1.1099999941421856e-07,0.0,5.93241860635807e-08,5.374159961490932e-08,0.0
0.09118903500000108,0.09290703333333372,0.08309413733333582,0.08346049903843861,0.085239466139786,0.07519278725367062,4.093333316745884e-07,5.433333161164455e-08,0.0,5.9523998729993366e-08,5.2781772730270404e-08,0.0
0.09118279533333329,0.09289999799999915,0.08308851399999906,0.08347747764350422,0.08525621692571739,0.07520800494053614,3.94999999819845e-07,1.0893333257655513e-07,0.0,5.932381152984334e-08,5.373527567353875e-08,0.0
0.09117658233333348,0.09289298933333257,0.08308289066666674,0.08349445671517719,0.08527296817825625,0.07522322245168894,3.5399999909202506e-07,1.3686666555656757e-07,0.0,5.865701691032399e-08,5.4222171252948925e-08,0.0
0.09117039599999988,0.09288600733333219,0.08307726066666543,0.08351143625357582,0.08528971989752088,0.0752384397869858,2.8633333393202065e-07,1.3813333321621712e-07,0.0,5.752349657717204e-08,5.424234106321535e-08,0.0
0.09116423966666698,0.09287905533333252,0.0830716339999995,0.08352841629194507,0.0853064721167559,0.07525365703919384,1.886666662898051e-07,1.0939999928183397e-07,0.0,5.589000579009351e-08,5.3762540475066345e-08,0.0
0.09115811000000118,0.09287212999999994,0.08306600066666725,0.08354539673031391,0.08532322473599063,0.07526887398956006,6.433333243904826e-08,5.3999998250731096e-08,0.0,5.385651524747459e-08,5.28827400758658e-08,0.0
0.0911517049999988,0.09286508199999766,0.08306036733333144,0.0835623698046345,0.08533997403098459,0.07528409079783904,1.883333347052485e-07,1.0940000017001239e-07,0.0,5.593638463530226e-08,5.381629847311942e-08,0.0
0.0911453299999998,0.09285806399999874,0.08305473066666735,0.0835793433456215,0.08535672379264497,0.07529930742994234,2.8233333360105917e-07,1.3480000049526097e-07,0.0,5.75495875398957e-08,5.428319033162765e-08,0.0
